hour,id,count
13,7d56f158e0225925df1c4c7127443b29,0.0
14,7d56f158e0225925df1c4c7127443b29,0.0
15,7d56f158e0225925df1c4c7127443b29,0.0
16,7d56f158e0225925df1c4c7127443b29,1.0
17,7d56f158e0225925df1c4c7127443b29,2.0
18,7d56f158e0225925df1c4c7127443b29,1.0
19,7d56f158e0225925df1c4c7127443b29,0.0
20,7d56f158e0225925df1c4c7127443b29,0.0
21,7d56f158e0225925df1c4c7127443b29,0.0
22,7d56f158e0225925df1c4c7127443b29,0.0
23,7d56f158e0225925df1c4c7127443b29,0.0
0,7d5bc62013e494a60ee1fb75b3c73793,0.0
1,7d5bc62013e494a60ee1fb75b3c73793,0.0
2,7d5bc62013e494a60ee1fb75b3c73793,0.0
3,7d5bc62013e494a60ee1fb75b3c73793,0.0
4,7d5bc62013e494a60ee1fb75b3c73793,0.0
5,7d5bc62013e494a60ee1fb75b3c73793,0.0
6,7d5bc62013e494a60ee1fb75b3c73793,0.0
7,7d5bc62013e494a60ee1fb75b3c73793,0.0
8,7d5bc62013e494a60ee1fb75b3c73793,3.0
9,7d5bc62013e494a60ee1fb75b3c73793,1.0
10,7d5bc62013e494a60ee1fb75b3c73793,3.0
11,7d5bc62013e494a60ee1fb75b3c73793,3.0
12,7d5bc62013e494a60ee1fb75b3c73793,2.0
13,7d5bc62013e494a60ee1fb75b3c73793,2.0
14,7d5bc62013e494a60ee1fb75b3c73793,3.0
15,7d5bc62013e494a60ee1fb75b3c73793,2.0
16,7d5bc62013e494a60ee1fb75b3c73793,1.0
17,7d5bc62013e494a60ee1fb75b3c73793,0.0
18,7d5bc62013e494a60ee1fb75b3c73793,1.0
19,7d5bc62013e494a60ee1fb75b3c73793,0.0
20,7d5bc62013e494a60ee1fb75b3c73793,2.0
21,7d5bc62013e494a60ee1fb75b3c73793,2.0
22,7d5bc62013e494a60ee1fb75b3c73793,0.0
23,7d5bc62013e494a60ee1fb75b3c73793,0.0
0,7d661e1b4700c7042f4236126183751f,1.0
1,7d661e1b4700c7042f4236126183751f,0.0
2,7d661e1b4700c7042f4236126183751f,0.0
3,7d661e1b4700c7042f4236126183751f,0.0
4,7d661e1b4700c7042f4236126183751f,0.0
5,7d661e1b4700c7042f4236126183751f,0.0
6,7d661e1b4700c7042f4236126183751f,0.0
7,7d661e1b4700c7042f4236126183751f,0.0
8,7d661e1b4700c7042f4236126183751f,1.0
9,7d661e1b4700c7042f4236126183751f,0.0
10,7d661e1b4700c7042f4236126183751f,0.0
11,7d661e1b4700c7042f4236126183751f,2.0
12,7d661e1b4700c7042f4236126183751f,3.0
13,7d661e1b4700c7042f4236126183751f,0.0
14,7d661e1b4700c7042f4236126183751f,1.0
15,7d661e1b4700c7042f4236126183751f,1.0
16,7d661e1b4700c7042f4236126183751f,0.0
17,7d661e1b4700c7042f4236126183751f,0.0
18,7d661e1b4700c7042f4236126183751f,3.0
19,7d661e1b4700c7042f4236126183751f,0.0
20,7d661e1b4700c7042f4236126183751f,1.0
21,7d661e1b4700c7042f4236126183751f,0.0
22,7d661e1b4700c7042f4236126183751f,1.0
23,7d661e1b4700c7042f4236126183751f,1.0
0,7d793a6ce622c5e429541313596181e4,3.0
1,7d793a6ce622c5e429541313596181e4,1.0
2,7d793a6ce622c5e429541313596181e4,2.0
3,7d793a6ce622c5e429541313596181e4,0.0
4,7d793a6ce622c5e429541313596181e4,1.0
5,7d793a6ce622c5e429541313596181e4,2.0
6,7d793a6ce622c5e429541313596181e4,2.0
7,7d793a6ce622c5e429541313596181e4,1.0
8,7d793a6ce622c5e429541313596181e4,2.0
9,7d793a6ce622c5e429541313596181e4,3.0
10,7d793a6ce622c5e429541313596181e4,4.0
11,7d793a6ce622c5e429541313596181e4,3.0
12,7d793a6ce622c5e429541313596181e4,1.0
13,7d793a6ce622c5e429541313596181e4,2.0
14,7d793a6ce622c5e429541313596181e4,2.0
15,7d793a6ce622c5e429541313596181e4,2.0
16,7d793a6ce622c5e429541313596181e4,1.0
17,7d793a6ce622c5e429541313596181e4,4.0
18,7d793a6ce622c5e429541313596181e4,8.0
19,7d793a6ce622c5e429541313596181e4,2.0
20,7d793a6ce622c5e429541313596181e4,0.0
21,7d793a6ce622c5e429541313596181e4,0.0
22,7d793a6ce622c5e429541313596181e4,1.0
23,7d793a6ce622c5e429541313596181e4,2.0
0,7d7ef98485ce2c9a1b65843d34ee46f0,3.0
1,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
2,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
3,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
4,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
5,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
6,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
7,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
8,7d7ef98485ce2c9a1b65843d34ee46f0,5.0
9,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
10,7d7ef98485ce2c9a1b65843d34ee46f0,2.0
11,7d7ef98485ce2c9a1b65843d34ee46f0,3.0
12,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
13,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
14,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
15,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
16,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
17,7d7ef98485ce2c9a1b65843d34ee46f0,2.0
18,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
19,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
20,7d7ef98485ce2c9a1b65843d34ee46f0,0.0
21,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
22,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
23,7d7ef98485ce2c9a1b65843d34ee46f0,1.0
0,7d7fa38cadbd545e61f6061aeb063f98,4.0
1,7d7fa38cadbd545e61f6061aeb063f98,1.0
2,7d7fa38cadbd545e61f6061aeb063f98,1.0
3,7d7fa38cadbd545e61f6061aeb063f98,0.0
4,7d7fa38cadbd545e61f6061aeb063f98,0.0
5,7d7fa38cadbd545e61f6061aeb063f98,3.0
6,7d7fa38cadbd545e61f6061aeb063f98,1.0
7,7d7fa38cadbd545e61f6061aeb063f98,1.0
8,7d7fa38cadbd545e61f6061aeb063f98,4.0
9,7d7fa38cadbd545e61f6061aeb063f98,5.0
10,7d7fa38cadbd545e61f6061aeb063f98,2.0
11,7d7fa38cadbd545e61f6061aeb063f98,4.0
12,7d7fa38cadbd545e61f6061aeb063f98,3.0
13,7d7fa38cadbd545e61f6061aeb063f98,2.0
14,7d7fa38cadbd545e61f6061aeb063f98,2.0
15,7d7fa38cadbd545e61f6061aeb063f98,6.0
16,7d7fa38cadbd545e61f6061aeb063f98,4.0
17,7d7fa38cadbd545e61f6061aeb063f98,3.0
18,7d7fa38cadbd545e61f6061aeb063f98,3.0
19,7d7fa38cadbd545e61f6061aeb063f98,3.0
20,7d7fa38cadbd545e61f6061aeb063f98,2.0
21,7d7fa38cadbd545e61f6061aeb063f98,2.0
22,7d7fa38cadbd545e61f6061aeb063f98,1.0
23,7d7fa38cadbd545e61f6061aeb063f98,1.0
0,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
1,7d8e5d5f50c5b2916bf84a5fa3dd19c8,2.0
2,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
3,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
4,7d8e5d5f50c5b2916bf84a5fa3dd19c8,3.0
5,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
6,7d8e5d5f50c5b2916bf84a5fa3dd19c8,0.0
7,7d8e5d5f50c5b2916bf84a5fa3dd19c8,1.0
