wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft,bounding_geometry,bounding_area
281_0,[45147],2017-05-22,2017-09-26,spring,summer,127,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1007859.960510137 194906.4413290826, 1008193.739306824 195337.2992406147))",545.0200226121405,"LINESTRING (1007859.960510137 194906.4413290826, 1008193.739306824 195337.2992406147)",0.0
2820_0,[44687],2019-03-14,2019-03-22,winter,winter,8,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1004991.108981264 191929.9347903153, 1005256.101751454 192285.0051107621))",443.0531578885315,"LINESTRING (1004991.108981264 191929.9347903153, 1005256.101751454 192285.0051107621)",0.0
2821_0,[223687 223688],2019-03-14,2019-04-05,winter,spring,22,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((1001818.611891358 212976.8917635875, 1001807.800189332 212859.3457891069), (1001807.800189332 212859.3457891069, 1001776.05291956 212514.1843377401))",464.66055138655616,"POLYGON ((1001818.611850638 212976.8917673328, 1001776.05287884 212514.1843414854, 1001776.05291956 212514.1843377401, 1001818.611891358 212976.8917635875, 1001818.611850638 212976.8917673328))",0.019000674125884874
2822_0,[43860],2019-03-15,2019-03-22,winter,winter,7,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1008360.053362592 183865.1744508145, 1008494.924290053 183171.0536270115))",707.1024572939813,"LINESTRING (1008360.053362592 183865.1744508145, 1008494.924290053 183171.0536270115)",0.0
2825_0,[171658 171657],2019-03-16,2019-03-24,winter,winter,8,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1055508.080909265 186012.4350673392, 1055251.599915305 185465.7098411601), (1055515.121470496 186027.4414816776, 1055508.080909265 186012.4350673392))",620.4724377635898,"POLYGON ((1055515.120897996 186027.4417502509, 1055251.599342805 185465.7101097333, 1055251.599915305 185465.70984116, 1055515.121470496 186027.4414816776, 1055515.120897996 186027.4417502509))",0.3923662292741069
2827_0,[271349 257407 271350],2019-03-17,2019-04-01,winter,spring,15,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((990945.6457864214 216319.0240002779, 990605.9930703886 216506.073783431), (990401.7583601611 216618.5474892345, 990051.4966015652 216811.4394096175), (990605.9930703886 216506.073783431, 990401.7583601611 216618.5474892345))",1020.7721097944801,"POLYGON ((990945.645871455 216319.0241546856, 990051.4966865988 216811.4395640252, 990051.4966015652 216811.4394096175, 990945.6457864214 216319.0240002779, 990945.645871455 216319.0241546856))",0.17993536593891404
2829_0,[21645],2019-03-18,2019-03-23,winter,winter,5,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((981010.3830132079 186433.9953905131, 980670.8222227851 186737.343695189))",455.32595395204316,"LINESTRING (981010.3830132079 186433.9953905131, 980670.8222227851 186737.343695189)",0.0
2830_0,[22728],2019-03-18,2019-03-26,winter,winter,8,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((988009.294127487 181564.7838902696, 988664.2338161938 181148.6213828897))",775.9750178916797,"LINESTRING (988009.294127487 181564.7838902696, 988664.2338161938 181148.6213828897)",0.0
2833_0,[44139],2019-03-18,2019-05-20,winter,spring,63,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1000524.087589856 194053.4107321499, 1000972.930096584 194113.2188399255))",452.8096792268012,"LINESTRING (1000524.087589856 194053.4107321499, 1000972.930096584 194113.2188399255)",0.0
2835_0,[31942],2019-03-18,2019-06-29,winter,summer,103,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((982716.492168483 205729.1670861043, 982684.6100442038 205801.9201267507))",79.43220236064339,"LINESTRING (982716.492168483 205729.1670861043, 982684.6100442038 205801.9201267507)",0.0
2837_0,[94252 94245 94237 87365],2019-03-18,2019-07-09,winter,summer,113,"[""['Dot In-House Milling', 'Dot In-House Paving']""]","MULTILINESTRING ((1030884.187833144 245599.6316211127, 1031080.602042865 245712.1252429441), (1030717.937725551 245495.6024919698, 1030884.187833144 245599.6316211127), (1030246.929883511 245200.5334659996, 1030717.937725551 245495.6024919698), (1029721.539067716 244871.107143553, 1030246.929883511 245200.5334659996))",1598.39023147448,"POLYGON ((1031076.551642469 245718.6705827125, 1029717.48866732 244877.6524833214, 1029721.539067716 244871.107143553, 1031080.602042865 245712.1252429441, 1031076.551642469 245718.6705827125))",12301.988981232673
